asin,title,price,market,keyword,scraped_at
B0863KR72L,"EUR 46.89
EUR46
.
89",,UK,QWERTZ keyboard,2026-02-19T20:40:18.462102+00:00
B07XLYRWZ3,"EUR 42.48
EUR42
.
48",,UK,QWERTZ keyboard,2026-02-19T20:40:18.482580+00:00
B0DYDPX4VH,"EUR 57.19
EUR57
.
19",,UK,QWERTZ keyboard,2026-02-19T20:40:18.500996+00:00
B08DG4C63H,N/A,,UK,QWERTZ keyboard,2026-02-19T20:40:18.514750+00:00
B00F35N1KS,"EUR 28.61
EUR28
.
61",,UK,QWERTZ keyboard,2026-02-19T20:40:18.534973+00:00
B09N9CY637,N/A,,UK,QWERTZ keyboard,2026-02-19T20:40:18.544174+00:00
B0F58SM5BT,"EUR 22.87
EUR22
.
87",,UK,QWERTZ keyboard,2026-02-19T20:40:18.598020+00:00
B0CFFCC1L6,"EUR 20.58
EUR20
.
58",,UK,QWERTZ keyboard,2026-02-19T20:40:18.615091+00:00
B0CT5VV71Z,"EUR 26.30
EUR26
.
30",,UK,QWERTZ keyboard,2026-02-19T20:40:18.630314+00:00
B0B3DBYXZ6,"EUR 29.73
EUR29
.
73",,UK,QWERTZ keyboard,2026-02-19T20:40:18.651215+00:00
B08B539T4M,N/A,,UK,QWERTZ keyboard,2026-02-19T20:40:18.665719+00:00
B0FHH6B58D,"EUR 80.07
EUR80
.
07",,UK,QWERTZ keyboard,2026-02-19T20:40:18.685466+00:00
B0DBH9YPC7,"EUR 94.82
EUR94
.
82",,UK,QWERTZ keyboard,2026-02-19T20:40:18.713376+00:00
B09X5XYG12,N/A,,UK,QWERTZ keyboard,2026-02-19T20:40:18.728113+00:00
B08RXNFJJR,"EUR 22.22
EUR22
.
22",,UK,QWERTZ keyboard,2026-02-19T20:40:18.743271+00:00
B0977C4H7V,"EUR 21.27
EUR21
.
27",,UK,QWERTZ keyboard,2026-02-19T20:40:18.758745+00:00
B0F1ZJSXB5,N/A,,UK,german keyboard,2026-02-19T20:40:22.999806+00:00
B0B7X1C65B,"EUR 33.68
EUR33
.
68",,UK,german keyboard,2026-02-19T20:40:23.065485+00:00
B08ZNSJ152,"EUR 45.75
EUR45
.
75",,UK,german keyboard,2026-02-19T20:40:23.084203+00:00
B0F639HPHT,"EUR 52.61
EUR52
.
61",,UK,german keyboard,2026-02-19T20:40:23.100954+00:00
B0FD3V3RPY,"EUR 114.34
EUR114
.
34",,UK,german keyboard,2026-02-19T20:40:23.116359+00:00
B07N3D832F,N/A,,UK,german keyboard,2026-02-19T20:40:23.124542+00:00
B08D9PZDGW,"EUR 10.17
EUR10
.
17",,UK,german keyboard,2026-02-19T20:40:23.139604+00:00
B0DGQ6CKNZ,"EUR 146.86
EUR146
.
86",,UK,german keyboard,2026-02-19T20:40:23.155042+00:00
B0CBPJN8BY,"EUR 45.83
EUR45
.
83",,UK,german keyboard,2026-02-19T20:40:23.170049+00:00
B0F63BK4ZB,"EUR 160.14
EUR160
.
14",,UK,german keyboard,2026-02-19T20:40:23.183170+00:00
B0FF9RVNCZ,"EUR 70.46
EUR70
.
46",,UK,german keyboard,2026-02-19T20:40:23.197826+00:00
B0DPH3BTC6,"EUR 21.19
EUR21
.
19",,UK,german keyboard,2026-02-19T20:40:23.212124+00:00
B09B1VMTVX,"EUR 6.38
EUR6
.
38",,UK,german keyboard,2026-02-19T20:40:23.225620+00:00
B0CSYT813K,"EUR 20.58
EUR20
.
58",,UK,mechanical keyboard,2026-02-19T20:40:28.050349+00:00
B0FF9WN7R1,"EUR 70.46
EUR70
.
46",,UK,mechanical keyboard,2026-02-19T20:40:28.078472+00:00
B07CMH9HDY,"EUR 39.11
EUR39
.
11",,UK,mechanical keyboard,2026-02-19T20:40:28.094835+00:00
B0CS365B89,"EUR 26.07
EUR26
.
07",,UK,mechanical keyboard,2026-02-19T20:40:28.115535+00:00
B07W4DHQJ6,"EUR 51.47
EUR51
.
47",,UK,mechanical keyboard,2026-02-19T20:40:28.137528+00:00
