asin,domain,domain_id,title,new_price,used_price,list_price,discount_percent,rating,validated_at
B08DG4C63H,UK,2,"Trust Taro Wired Keyboard, German QWERTZ Layout, Quiet Keys, Splashproof, USB Port, 1.8 m Cable Length, PC Keyboard for Computer, Laptop, Mac, Windows",10.98,8.95,10.98,18.5,,2026-02-19T22:00:21.857170+00:00
B00F35N1KS,UK,2,"CHERRY KC 1000, Wired Keyboard, German Layout (QWERTZ), Plug & Play via USB Port, Flat Design, Whisper-Quiet Keystrokes, White-Grey",24.37,,24.37,,,2026-02-19T22:00:21.857193+00:00
B09N9CY637,UK,2,"CHERRY STREAM KEYBOARD TKL, Wired Keyboard without Numeric Keypad, German Layout (QWERTZ), Quiet Keystrokes, Unique Typing Experience, Black",34.76,,34.76,,,2026-02-19T22:00:21.857200+00:00
B08ZNSJ152,UK,2,"Dell KM5221W, Pro Wireless, Keyboard and Mouse Set, German (QWERTZ), Black",39.99,,39.99,,,2026-02-19T22:00:21.857206+00:00
B09ZVJ9GWG,UK,2,"Goshyda Bluetooth Keyboard, 78Keys German Layout, QWERTZ, Wireless, Portable, Silent, for iOS, Android,",19.88,,19.88,,,2026-02-19T22:00:21.857210+00:00
B0BLC7D6ZZ,UK,2,Arteck 2.4G Wireless Keyboard and Mouse Combo Ultra Slim Full Size Keyboard and Ergonomic Mice for Computer Desktop PC Laptop and Windows 11/10/8/7 Bu,39.99,,39.99,,,2026-02-19T22:00:21.857215+00:00
B0F1ZJSXB5,UK,2,Dell KB216 GERMAN Slim Office Multimedia Keyboard BLACK,19.99,,19.99,,,2026-02-19T22:00:21.857222+00:00
B0FDFDZYR5,UK,2,"Keychron K4 QMK Wireless Custom Mechanical Keyboard, 96% Layout Bluetooth/2.4G/USB-C Programmable, White Backlit Super Red Switch for Mac/Windows/Linu",89.99,,89.99,,,2026-02-19T22:00:21.857227+00:00
B00OCMRV40,FR,4,"KeySonic KSK-6231INEL USB QWERTZ Allemand Noir - Claviers (Standard, Avec fil, USB, QWERTZ, Noir)",90.6,,90.6,,,2026-02-19T22:00:24.381829+00:00
B08QD8MZX1,FR,4,KeySonic KSK-8031INEL Clavier USB QWERTZ Allemand Blanc,77.36,,77.36,,,2026-02-19T22:00:24.381859+00:00
B0FG85MKT1,FR,4,"MechLands Aula F75 Clavier mécanique sans fil 75 % QWERTZ Disposition allemande Custom Creamy Clavier de jeu avec bouton, RVB, remplaçable à chaud, in",,,,,,2026-02-19T22:00:24.381871+00:00
B09R1VZRFF,FR,4,"KLIM Chroma Clavier Gamers QWERTZ DEUTSHLAND Filaire USB - Haute Performance - Éclairé chromatique Gaming Noir RGB PC Windows, Mac PS4 [ Nouvelle Vers",39.97,36.55,39.97,8.6,,2026-02-19T22:00:24.381892+00:00
B07FLYR1TG,FR,4,"KLIM Chroma Clavier sans Fil Gamer QWERTZ Deutschland + Fin, Durable, Ergonomique, Discret, Waterproof, Silencieux + Clavier Gamer rétroéclairé pour P",39.97,,39.97,,,2026-02-19T22:00:24.381902+00:00
B08DG4C63H,FR,4,"Trust Taro Clavier Filaire, Disposition Allemande QWERTZ, Touches silencieuses, Protection Contre Les éclaboussures, Port USB, Longueur de câble de 1,",12.99,5.05,12.99,61.1,,2026-02-19T22:00:24.381913+00:00
B003PAMIA2,FR,4,Logitech Clavier Filaire Noir QWERTZ (Import Allemagne),10.99,17.68,10.99,-60.9,,2026-02-19T22:00:24.381923+00:00
B003UL1RGC,FR,4,"Logitech K120 Clavier sans Fil Business Windows, Plug-and-Play USB, Taille Standard, Etanche, Barre d’Espacement Incurvée, Clavier QWERTZ Allemand - N",19.57,16.01,19.57,18.2,,2026-02-19T22:00:24.381943+00:00
B08KWBVK4Z,FR,4,MediaRange MROS113 Clavier Qwertz avec câble Blanc,12.28,,12.44,,,2026-02-19T22:00:24.381953+00:00
B08KWBJCNM,FR,4,MediaRange MROS112 Clavier Qwertz Noir avec câble,11.28,10.94,12.77,14.3,,2026-02-19T22:00:24.381963+00:00
B09JST2LCL,FR,4,Gintai Clavier Allemand Keyboard QWERTZ Backlit pour Lenovo ThinkPad T460P 20FW 20FX T470P 20J6 20J7 00UR367 SN20J91904 PK1310A1B13 00UR407 SN20J91983,48.01,65.56,48.01,-36.6,,2026-02-19T22:00:24.381972+00:00
B0DP36D6K5,FR,4,"T'nB - Clavier sans Fil, QWERTZ (Allemagne, Autriche, Luxembourg, Suisse), Connexion Automatique, 13 raccourcis multimédia - Noir",19.99,,19.99,,,2026-02-19T22:00:24.381979+00:00
B0CVTZ4BT7,FR,4,"seenda Clavier et souris sans fil, multi-appareils USB & Bluetooth Clavier Souris Set pour PC, Clavier sans fil ultra fin rechargeable avec souris pou",49.19,,49.19,,,2026-02-19T22:00:24.381988+00:00
B077BT728N,FR,4,"Logitech K280e Pro Clavier Filaire Business, Clavier QWERTZ Allemand - Noir",29.89,13.22,29.89,55.8,,2026-02-19T22:00:24.381998+00:00
B09J88KM8L,IT,8,Contour Balance Keyboard | Tastiera cablata | Layout QWERTZ | Tastiera per computer super piatta | tastierino numerico + tasti multimediali | per casa,113.03,,113.03,,,2026-02-19T22:00:26.053098+00:00
B0BXXM31Y2,IT,8,Contour Balance Keyboard | Tastiera wireless con dongle USB | Layout QWERTZ | Tastiera wireless super piatta | tastierino numerico + tasti multimedial,125.85,,126.5,,,2026-02-19T22:00:26.053119+00:00
