asin,domain,domain_id,title,new_price,used_price,list_price,discount_percent,validated_at
B0CVTZ4BT7,UK,2,"seenda Wireless Keyboard and Mouse, Multi-Device USB & Bluetooth Keyboard Mouse Set for PC, Rechargeable Ultra Thin Wireless Keyboard with Mouse for W",45.16,,45.16,,2026-02-19T20:42:10.413414+00:00
B006T02YRM,UK,2,"Logitech K270 Wireless Keyboard for Windows, QWERTZ German Layout - Black",34.99,,34.99,,2026-02-19T20:42:10.413440+00:00
B0DP36D6K5,UK,2,"T'nB Classy Wireless Keyboard for Windows/Linux, 2.4 GHz Wireless, German QWERTZ Layout, Quiet Keys, Black",20.81,,20.81,,2026-02-19T20:42:10.413454+00:00
B0B7X1C65B,UK,2,"PUSOKEI Bluetooth Keyboard, Wireless QWERTZ German keyboard, Portable Slim Silent Keyboard, Stable Connection, Wireless Keyboard for iOS, Android, Win",29.44,,29.44,,2026-02-19T20:42:10.413461+00:00
B09X5XYG12,UK,2,"Razer Ornata V3 X Gaming Keyboard with Mecha Membrane Hybrid Switches (Multifunctional Control and Media Keys, Fully Programmable, RGB Chroma) QWERTZ ",42.28,22.63,42.28,46.5,2026-02-19T20:42:10.413474+00:00
B0DKTHFTMD,UK,2,"HP 235 - Keyboard and Mouse Set - 3-Zone Layout, Low Profile Key Travel - Full Size - Wireless - 2.4 GHz - German - Black - Smart Buy",,,,,2026-02-19T20:42:10.413481+00:00
B0DPH3BTC6,UK,2,"OMOTON Wired Keyboard for Mac with Dual Interface, USB and Type-C Mini Keyboard Compatible with Apple Mac Pro, iMac, Mac Mini, MacBook Pro/Air, QWERTY",21.79,17.43,21.79,20.0,2026-02-19T20:42:10.413490+00:00
B07Z1G3VG1,UK,2,"CHERRY STREAM KEYBOARD, Wired Keyboard, Swiss Layout (QWERTZ), Quiet Keystrokes, Unique Typing Experience, Flat Design, Black",36.88,,36.88,,2026-02-19T20:42:10.413497+00:00
B0DBH9YPC7,UK,2,"AULA F99 Mechanical Gaming Keyboard,BT5.0/2.4GHz/USB-C Hot Swappable Custom Keyboards with Five-Layer Padding,Pre-lubed Switches,8000mAh Battery,RGB W",82.89,,82.89,,2026-02-19T20:42:10.413511+00:00
B0FKVBZ2PD,UK,2,"Glorious Gaming Keyboard GMBK 75% - Swappable MX compatible keycaps, detachable USB cable, IP57 water and dust resistant, 10 zone RGB lighting, quiet ",49.99,,49.99,,2026-02-19T20:42:10.413518+00:00
B07W4DHKZJ,UK,2,"Logitech MX Mechanical Mini Wireless Illuminated Keyboard, Tactile Quiet Switches, Backlit, Bluetooth, USB-C, macOS, Windows, Linux, iOS, Android, Met",169.0,141.6,169.0,16.2,2026-02-19T20:42:10.413531+00:00
B0BHGSRTDD,UK,2,"TECURS TKL Mechanical AZERTY Wired Gaming Keyboard, 60% Backlit, Anti-Ghosting, Blue Switches for Windows/Mac, White",,,,,2026-02-19T20:42:10.413541+00:00
B0DFXWQWB8,UK,2,"GravaStar Mercury K1 Lite 75% Gaming Keyboard, 2.4GHz/BT/Wired Tri-Mode Wireless Keyboard, Gasket Hot Swappable Mechanical Keyboard, Pre-lubed Linear ",89.95,,89.95,,2026-02-19T20:42:10.413550+00:00
B07W7MQMDH,UK,2,"Logitech G 413 SE Full Size Mechanical Gaming Keyboard – Backlit Keyboard with Mechanical Touch Switches, Anti-Ghosting, Compatible with Windows, macO",69.99,,69.99,,2026-02-19T20:42:10.413560+00:00
B00564GWEI,UK,2,"Logitech MK120 Wired Keyboard and Mouse Combo for Windows, QWERTY Spanish Layout - Black",24.99,,24.99,,2026-02-19T20:42:10.413571+00:00
B07W7KMK4W,UK,2,"Logitech G413 TKL SE Mechanical Gaming Keyboard - Compact Backlit Keyboard, QWERTY Spanish Layout - Black",59.99,,59.99,,2026-02-19T20:42:10.413577+00:00
B0DQQ87W32,UK,2,"GXTrust 871 Zora Spanish QWERTY Mechanical Keyboard with RGB Illumination, Huano Linear Switches, N-Key Rollover Anti-ghosting, Programmable Gaming Ke",,,,,2026-02-19T20:42:10.413584+00:00
B07W7LMCF9,UK,2,"Logitech MX Keys Advanced Wireless Illuminated Keyboard for Mac, QWERTZ German Layout - Grey",,,,,2026-02-19T20:42:10.413590+00:00
B0DFWH9YWK,UK,2,"Rii RK909 96% Mechanical Gaming Keyboard, 3 Connectivity Modes, LED Backlight, Spanish Layout (Blue Switches)",,,,,2026-02-19T20:42:10.413595+00:00
B0FX988W28,UK,2,"BasdeRange Flow Lite 84 Wireless Rechargeable Interchangeable Mechanical Keyboard with 2.4G Receiver, BT and Wired Connection for Windows Mac Linear S",,,,,2026-02-19T20:42:10.413604+00:00
B0FD3V3RPY,UK,2,"GravaStar Mercury V75 Series Hall Effect Gaming Keyboard with Only Wired, 75% Layout Gaming Keyboard with Magnetic Switches, Hot Swappable, 8000 Hz Po",99.95,,99.95,,2026-02-19T20:42:10.413612+00:00
B0B3DBYXZ6,UK,2,Snpurdiri 60% Compact Size Mechanical Gaming Keyboard - Red Switches | USB-C Wired | UK Compatible US Layout | 16.8M RGB Backlit | Portable for PC & L,25.99,,25.99,,2026-02-19T20:42:10.413618+00:00
B07W7N38X8,UK,2,"Logitech G PRO TKL Mechanical Gaming Keyboard, GX Blue Clicky Switch, LIGHTSYNC RGB, Portable Tenkeyless Design, Designed for Esport Gaming, Removable",109.99,,109.99,,2026-02-19T20:42:10.413625+00:00
