asin,domain_id,market,title,new_price,used_price,discount_percent
B07WGFC44F,2,UK,,,,
B01N4FXKH5,2,UK,,,,
B003ELVLKU,2,UK,,,,
B07QKD9V4F,2,UK,,,,
B07FWHKJXH,2,UK,,,,
B08CVY5G6Q,2,UK,,,,
B08CRDDXDC,2,UK,,,,
B08DTGCKKX,2,UK,,,,
B0B3QDNV44,2,UK,,,,
B09QX3PLWB,2,UK,,,,
B09F3Z8P3B,2,UK,,,,
B07CMQF9C7,2,UK,,,,
B09MTYZBXF,2,UK,,,,
B0B7NQHTSB,2,UK,,,,
B09TPJQ8GV,2,UK,,,,
B07C7DTGMF,2,UK,,,,
B07R7FFVG4,2,UK,,,,
B0BG9XFMC4,2,UK,,,,
B0BKRGMKM1,2,UK,,,,
B09ZVB8VKQ,2,UK,,,,
B07KQL9C1H,2,UK,,,,
B07YN2F4ZF,2,UK,,,,
B08R1MHS9C,2,UK,,,,
B09Y7J1ZLQ,2,UK,,,,
B09MLKZP8K,2,UK,,,,
B09MTYXNWK,2,UK,,,,
B0BHM5VP6C,2,UK,,,,
B0CKWQXMQJ,2,UK,,,,
B0BRDCT46B,2,UK,,,,
B0BRDBT7PR,2,UK,,,,
B0BRDDK8TW,2,UK,,,,
B0BRD9XTXR,2,UK,,,,
B09CGHTB5N,2,UK,,,,
B0B4Y2MYVJ,2,UK,,,,
B07Y5VFXZL,2,UK,,,,
B08H97NYGJ,2,UK,,,,
B09B9KCP8Y,2,UK,,,,
B08R3LH8BF,2,UK,,,,
B0C1XZV9YF,2,UK,,,,
B0BWZQJ5KW,2,UK,,,,
B009EOZ41Y,2,UK,,,,
B00VBGT00Q,2,UK,,,,
B007VDPID6,2,UK,,,,
B014EUQOGK,2,UK,,,,
B00ZK4RK3K,2,UK,,,,
B082TN5P76,2,UK,,,,
B08STKPTJ8,2,UK,,,,
B09K4ZYWKZ,2,UK,,,,
B0B9ZK5M5W,2,UK,,,,
B00FVKLR42,2,UK,,,,
B079PRXQPL,2,UK,,,,
B0187CKZVE,2,UK,,,,
B00XBGG62Y,2,UK,,,,
B06XKNR8LJ,2,UK,,,,
B07PMBHH1D,2,UK,,,,
B07PM9HWK1,2,UK,,,,
B0794WQSPS,2,UK,,,,
B07PM8T4Y1,2,UK,,,,
B00VBGT0J6,2,UK,,,,
B0814FXW5G,2,UK,,,,
B07DHNX4XB,2,UK,,,,
B00MBLQGGE,2,UK,,,,
B09B96KFQX,2,UK,,,,
B07BHV6SHW,2,UK,,,,
B07PM9HWDT,2,UK,,,,
B07PMB5N38,2,UK,,,,
B09BSLJKFH,2,UK,,,,
B09BS7JLTT,2,UK,,,,
B0C4FHFVMT,2,UK,,,,
B07H4Z4JQG,2,UK,,,,
B00450LDR4,2,UK,,,,
B077XCXZKK,2,UK,,,,
